,Open,Close,"SI(C2>B2,1,0)"
2176,1665.70996,1666.29004,1
2177,1666.19995,1669.16003,1
2178,1669.39002,1655.34998,0
2179,1651.62,1650.51001,0
2180,1646.67004,1649.59998,1
2181,1652.63001,1660.06006,1
2182,1656.56995,1648.35999,0
2183,1649.14002,1654.41003,1
2184,1652.13001,1630.73999,0
2185,1631.70996,1640.42004,1
2186,1640.72998,1631.38001,0
2187,1629.05005,1608.90002,0
2188,1609.29004,1622.56006,1
2189,1625.27002,1643.38001,1
2190,1644.67004,1642.81006,0
2191,1638.64002,1626.13001,0
2192,1629.93994,1612.52002,0
2193,1612.15002,1636.35999,1
2194,1635.52002,1626.72998,0
2195,1630.64002,1639.04004,1
2196,1639.77002,1651.81006,1
2197,1651.82996,1628.93005,0
2198,1624.62,1588.18994,0
2199,1588.62,1592.43005,1
2200,1588.77002,1573.08997,0
2201,1577.52002,1588.03003,1
2202,1592.27002,1603.26001,1
2203,1606.43994,1613.19995,1
2204,1611.12,1606.28003,0
2205,1609.78003,1614.95996,1
2206,1614.29004,1614.07996,0
2207,1611.47998,1615.41003,1
2208,1618.65002,1631.89002,1
2209,1634.19995,1640.45996,1
2210,1642.89002,1652.31995,1
2211,1651.56006,1652.62,1
2212,1657.41003,1675.02002,1
2213,1675.26001,1680.18994,1
2214,1679.58997,1682.5,1
2215,1682.69995,1676.26001,0
2216,1677.91003,1680.91003,1
2217,1681.05005,1689.37,1
2218,1686.15002,1692.08997,1
2219,1694.41003,1695.53003,1
2220,1696.63001,1692.39002,0
2221,1696.06006,1685.93994,0
2222,1685.20996,1690.25,1
2223,1687.31006,1691.65002,1
2224,1690.31995,1685.32996,0
2225,1687.92004,1685.95996,0
2226,1687.76001,1685.72998,0
2227,1689.42004,1706.87,1
2228,1706.09998,1709.67004,1
2229,1708.01001,1707.14002,0
2230,1705.79004,1697.37,0
2231,1695.30005,1690.91003,0
2232,1693.34998,1697.47998,1
2233,1696.09998,1691.42004,0
2234,1688.37,1689.46997,1
2235,1690.65002,1694.16003,1
2236,1693.88001,1685.39002,0
2237,1679.60999,1661.31995,0
2238,1661.21997,1655.82996,0
2239,1655.25,1646.06006,0
2240,1646.81006,1652.34998,1
2241,1650.66003,1642.80005,0
2242,1645.03003,1656.95996,1
2243,1659.92004,1663.5,1
2244,1664.29004,1656.78003,0
2245,1652.54004,1630.47998,0
2246,1630.25,1634.95996,1
2247,1633.5,1638.17004,1
2248,1638.89002,1632.96997,0
2249,1635.94995,1639.77002,1
2250,1640.71997,1653.07996,1
2251,1653.28003,1655.07996,1
2252,1657.43994,1655.17004,0
2253,1656.84998,1671.70996,1
2254,1675.10999,1683.98999,1
2255,1681.04004,1689.13001,1
2256,1689.20996,1683.42004,0
2257,1685.04004,1687.98999,1
2258,1691.69995,1697.59998,1
2259,1697.72998,1704.76001,1
2260,1705.73999,1725.52002,1
2261,1727.33997,1722.33997,0
2262,1722.43994,1709.91003,0
2263,1711.43994,1701.83997,0
2264,1702.59998,1697.42004,0
2265,1698.02002,1692.77002,0
2266,1694.05005,1698.67004,1
2267,1695.52002,1691.75,0
2268,1687.26001,1681.55005,0
2269,1682.41003,1695,1
2270,1691.90002,1693.87,1
2271,1692.34998,1678.66003,0
2272,1678.79004,1690.5,1
2273,1687.15002,1676.12,0
2274,1676.21997,1655.44995,0
2275,1656.98999,1656.40002,0
2276,1660.88001,1692.56006,1
2277,1691.08997,1703.19995,1
2278,1699.85999,1710.14002,1
2279,1709.17004,1698.06006,0
2280,1700.48999,1721.54004,1
2281,1720.17004,1733.15002,1
2282,1736.71997,1744.5,1
2283,1745.19995,1744.66003,0
2284,1746.47998,1754.67004,1
2285,1752.27002,1746.38001,0
2286,1747.47998,1752.06995,1
2287,1756.01001,1759.77002,1
2288,1759.42004,1762.10999,1
2289,1762.93005,1771.94995,1
2290,1772.27002,1763.31006,0
2291,1763.23999,1756.54004,0
2292,1758.69995,1761.64002,1
2293,1763.40002,1767.93005,1
2294,1765.67004,1762.96997,0
2295,1765,1770.48999,1
2296,1770.73999,1747.15002,0
2297,1748.37,1770.60999,1
2298,1769.95996,1771.89002,1
2299,1769.51001,1767.68994,0
2300,1764.37,1782,1
2301,1782.75,1790.62,1
2302,1790.66003,1798.18005,1
2303,1798.81995,1791.53003,0
2304,1790.79004,1787.87,0
2305,1789.58997,1781.37,0
2306,1783.52002,1795.84998,1
2307,1797.20996,1804.76001,1
2308,1806.32996,1802.47998,0
2309,1802.87,1802.75,0
2310,1803.47998,1807.22998,1
2311,1808.68994,1805.81006,0
2312,1806.55005,1800.90002,0
2313,1800.09998,1795.15002,0
2314,1793.15002,1792.81006,0
2315,1792.81995,1785.03003,0
2316,1788.35999,1805.08997,1
2317,1806.20996,1808.37,1
2318,1807.59998,1802.62,0
2319,1802.76001,1782.21997,0
2320,1781.70996,1775.5,0
2321,1777.97998,1775.31995,0
2322,1777.47998,1786.54004,1
2323,1786.46997,1781,0
2324,1781.45996,1810.65002,1
2325,1809,1809.59998,1
2326,1810.39002,1818.31995,1
2327,1822.92004,1827.98999,1
2328,1828.02002,1833.31995,1
2329,1834.95996,1842.02002,1
2330,1842.96997,1841.40002,0
