,Open,Open t-1,Close t-1,Vol t-1,Vol historico (Prom),Si close es mayor a open =1
439,65.57,65.57,65.15,542200,240895,1
440,60.17,61.21,59.76,765100,243704,0
441,58.93,56.03,57.69,678600,244523,0
442,58.31,58.1,58.31,394800,244650,0
443,58.51,59.35,58.93,355300,244914,1
444,58.93,58.51,58.93,371800,245021,0
445,58.1,56.23,58.51,550400,245329,0
446,58.1,58.1,57.48,274500,245380,0
447,59.35,59.76,59.14,308400,247327,0
448,55.61,59.35,57.69,658200,247391,1
449,57.69,57.27,57.48,363700,248835,0
450,60.8,60.59,60.8,442000,249061,1
451,52.29,52.29,52.08,272400,249629,0
452,52.71,52.29,52.29,208800,249624,1
453,54.78,54.99,54.99,230700,249715,0
454,57.48,57.69,57.06,327900,250179,0
455,53.95,55.4,54.16,321000,250538,0
456,54.37,53.74,54.37,345000,250694,0
457,52.08,52.08,52.5,633700,251166,1
458,53.95,52.5,52.91,602400,251415,0
459,54.78,55.61,54.99,186400,251850,0
460,57.06,57.06,56.86,532400,252643,1
461,60.59,61.42,61.42,725200,253029,1
462,65.15,64.32,65.36,330900,253818,0
463,64.53,64.74,64.53,272700,254012,0
464,63.91,63.08,63.49,322200,254303,1
465,65.36,65.57,65.57,279600,254694,1
466,70.55,69.51,69.93,332500,256018,1
467,71.38,71.38,70.34,177700,256369,1
468,70.76,71.17,70.55,312800,256430,0
469,74.08,73.46,74.08,318000,256516,1
470,78.02,77.19,78.23,559900,256767,0
471,77.19,78.02,78.02,413200,256792,0
472,74.29,75.11,74.29,303600,256793,0
473,78.23,77.19,78.23,272800,257199,0
474,88.39,84.04,86.74,584000,257570,0
475,82.92,83.75,82.5,734100,258860,1
476,94.17,92.29,95.21,558600,259431,0
477,91.88,94.17,92.29,643800,259471,0
478,91.25,88.75,90.83,121800,259694,0
479,98.13,95,98.13,1509000,260167,1
480,101.88,100.63,101.88,468600,260824,1
481,96.67,96.25,95.83,601800,261698,1
482,107.92,107.92,108.96,565300,262763,1
483,110.21,108.54,110.21,372800,262803,1
484,112.08,111.67,112.5,402300,262852,1
485,111.25,112.5,112.08,506100,262931,0
486,109.79,111.25,109.79,403200,262983,1
487,107.5,106.67,106.46,340300,264819,0
488,108.75,107.29,109.17,391000,264962,0
489,109.58,110.83,110,325400,265109,1
490,103.54,101.04,101.88,532900,266020,0
491,98.75,94.17,98.33,1115600,266932,0
492,104.17,103.75,104.17,523600,267444,1
493,109.06,108.13,109.06,458500,267895,1
494,112.81,110,111.88,422200,268008,1
495,110.63,113.13,110.63,406200,268987,0
496,114.38,110.94,112.81,256400,268965,0
497,117.81,118.75,117.81,341700,269109,1
498,151.25,150.63,150.31,580400,270619,1
499,150,151.67,150.42,479600,270678,0
500,154.17,145.83,147.92,390100,271013,0
501,150.42,157.5,151.25,306600,271023,0
502,160,157.92,161.67,587600,271467,0
503,160.42,160,160.42,229300,271555,1
504,189.17,193.33,191.25,470300,272869,0
505,182.92,176.67,182.08,323800,273150,0
506,167.5,161.67,167.08,624800,274969,0
507,167.08,167.5,166.67,372000,274971,0
508,189.58,186.67,189.58,536200,275593,0
509,193.75,186.25,192.92,471600,276358,1
510,200.83,195.83,200,591000,276478,1
511,212.5,210.83,212.08,596000,276616,0
512,212.5,212.71,210.21,500100,277024,1
513,225.42,223.75,225.21,493100,277179,0
514,228.75,220,226.04,462400,277570,0
515,240.42,238.33,239.17,469900,277742,0
516,235.83,233.13,233.33,522000,277902,0
517,224.79,228.33,227.5,493600,278215,0
518,222.29,224.79,219.58,428600,278274,1
519,232.92,226.67,229.58,330000,278368,0
520,225.21,225.83,225,348600,278625,0
521,221.46,217.92,220.83,357600,278669,0
522,234.79,216.67,232.71,1850300,281823,1
523,239.38,232.92,235.42,686000,282771,1
524,244.58,239.38,245,546400,282813,0
525,278.75,270.31,274.38,654300,283436,1
526,266.25,263.75,261.88,713300,284009,0
527,264.69,266.25,263.44,634000,284085,1
528,268.75,260.31,268.75,389300,284561,1
529,252.81,267.81,258.13,813200,284950,0
530,235.31,239.38,235.31,539000,286095,1
531,272.19,266.88,271.88,643100,286739,0
532,280.31,278.44,280.31,574400,286976,0
533,277.81,272.5,278.13,417800,287181,1
534,292.81,287.5,288.75,653300,287403,1
535,308.44,307.19,302.81,526800,287744,1
536,307.19,305.63,303.75,510200,291546,1
537,318.13,312.81,313.13,807800,291725,0
538,311.88,304.69,308.13,463100,292007,0
539,312.5,320,312.5,526200,292198,1
540,307.19,307.81,303.13,537400,293795,1
541,320.94,315.63,318.13,511800,293910,0
542,190,210,200.31,2126700,303094,1
543,216.25,205,214.69,1638000,304601,0
544,192.5,205,195.94,2146800,307985,0
545,226.25,219.38,225,3215200,323124,1
546,222.81,228.75,224.38,3066300,323958,0
547,220,222.81,217.5,2183900,324383,0
548,249.06,245.63,247.81,2304700,330819,0
549,258.44,258.75,258.13,441900,333983,0
550,255,258.44,255.31,870400,334117,0
551,254.06,255,255,1079200,334251,0
552,260.31,252.81,256.25,1451500,335382,1
553,262.5,285.63,278.75,2283300,337910,0
554,267.5,265,266.25,2195600,340516,1
555,292.19,282.5,290.94,4004000,346271,0
556,325.63,328.44,322.5,1560400,350447,0
557,320.94,315.63,316.88,1361600,352044,0
558,364.69,365,364.06,3036500,356779,1
559,371.88,374.38,369.06,1002400,357426,1
560,321.09,322.5,316.88,860200,363440,1
561,327.66,321.09,327.66,1180400,363538,1
562,330.47,327.66,331.41,919100,363601,0
563,322.97,330.47,323.91,725000,363651,1
564,324.38,316.41,322.97,1094900,364014,0
565,341.25,341.25,345.94,1476400,364471,1
566,349.22,352.03,347.34,1369500,364743,1
567,347.81,344.06,345.47,1008800,365676,1
568,326.72,330.94,330,1248400,368930,0
569,315.94,326.72,318.75,1114900,369025,1
570,328.13,319.22,328.59,1224400,369447,1
571,343.13,348.75,344.53,1424200,369711,1
572,363.75,356.25,364.22,1603400,370743,1
573,323.91,322.03,328.13,1406200,374792,0
574,403.13,415.78,406.88,2973100,380212,0
575,413.44,397.5,411.56,1791900,382980,1
576,420,429.84,419.65,1202800,385660,0
577,418.59,420,413.44,1286200,385831,1
578,404.53,405,401.25,1329600,386278,1
579,404.53,413.44,405,1231300,386663,1
580,389.53,399.38,387.19,1671900,395907,0
581,405,401.25,400.78,1851300,396299,0
582,457.5,443.44,457.5,1432600,400047,0
583,457.03,472.5,469.22,1447700,402325,0
584,456.09,452.81,458.44,828900,404138,0
585,493.13,472.5,474.84,1467200,406795,1
586,494.06,493.59,498.28,1043300,406985,0
587,489.38,482.34,488.91,1081500,409277,0
588,550.31,537.66,551.25,1139100,411151,1
589,562.5,564.38,560.86,664200,411838,1
590,545.63,549.38,547.5,2154000,413455,1
591,562.5,563.75,562.19,1052900,413984,0
592,538.75,535.63,535,936500,414848,0
593,526.25,534.38,526.25,630000,416116,0
594,511.88,511.25,504.38,821700,418011,1
595,538.75,525,530.63,1228200,419006,1
596,545,548.75,547.5,709300,419266,0
597,490.63,514.38,493.75,1131600,420498,1
598,474.38,481.25,474.38,1112000,420915,1
599,508.75,488.13,507.5,1797800,422221,0
600,504.38,485,497.5,957800,422461,1
601,517.5,517.5,510.63,931400,424861,0
602,553.75,560,553.13,1262100,428210,0
603,557.5,567,559.7,1559000,428708,1
604,485,484.5,486,2191900,430602,0
605,502.5,504.5,507.5,1109100,432009,0
606,477.5,502.5,491.3,1090300,432230,0
607,455,470.5,483.9,1990200,432828,0
608,443.1,469.5,443,1696200,433929,0
609,448,445.5,460.7,1566100,435874,0
610,494.5,502.9,494.2,1422100,438025,0
611,491,506.5,498,899100,439118,1
612,522.5,519.6,525.5,1405000,440299,0
613,516,523.5,516,886800,440626,0
614,480.5,498.9,486.1,1041100,441820,1
615,509,497,497.9,916600,442034,0
616,515,535,525.5,993400,442705,1
617,528,537.3,530.5,541600,443166,0
618,499,501.5,500.5,733800,445248,0
619,382.5,425,424.5,1942600,448758,1
620,372.5,389.5,384.5,2300600,449575,0
621,444.5,417.8,434.8,1930900,451907,0
622,464.9,461.6,465,1123600,453830,0
623,497.5,502.8,500.9,1273800,456470,0
624,508.1,500.8,508.1,1105000,456837,0
625,500,508.1,505.5,1028200,457140,0
